timestamp,cpu_usage,memory_usage
2026-02-27 12:34:50.077969,64.27,74.74
2026-02-27 12:34:52.079145,73.18,84.87
2026-02-27 12:35:50.763026,40.41,36.06
2026-02-27 13:14:49.210430,22.71,47.81
2026-02-27 13:14:51.212096,62.57,69.82
2026-02-27 13:14:53.214007,37.51,81.08
2026-02-27 13:14:55.214959,73.66,63.64
2026-02-27 13:14:57.215858,43.94,62.13
2026-02-27 13:14:59.216870,59.01,39.22
2026-02-27 13:15:01.218082,36.79,49.53
2026-02-27 13:15:03.219733,42.93,75.79
2026-02-27 13:15:05.221382,23.58,31.89
2026-02-27 13:15:07.223036,46.69,46.71
2026-02-27 13:15:09.224682,29.1,73.67
2026-02-27 13:15:11.226333,61.82,58.47
2026-02-27 13:15:13.227387,78.34,54.57
2026-02-27 13:15:15.228527,40.13,34.08
2026-02-27 13:15:17.230180,53.52,66.24
2026-02-27 13:15:19.231272,50.83,94.11
2026-02-27 13:15:21.232820,87.72,93.35
2026-02-27 13:15:23.233711,59.01,74.37
2026-02-27 13:15:25.234831,40.42,45.83
2026-02-27 13:15:27.235720,40.04,90.21
2026-02-27 13:15:29.236860,36.12,88.4
2026-02-27 13:15:31.238096,33.37,90.58
2026-02-27 13:15:33.239265,46.29,59.78
2026-02-27 13:15:35.240436,70.04,88.28
2026-02-27 13:15:37.241581,32.6,41.72
2026-02-27 13:15:39.242725,37.67,37.61
2026-02-27 13:15:41.243713,40.73,63.53
2026-02-27 13:15:43.244781,67.43,71.4
2026-02-27 13:15:45.245895,26.7,61.92
2026-02-27 13:15:47.247191,67.35,45.51
2026-02-27 13:15:49.265904,86.74,73.95
2026-02-27 13:15:51.326645,64.9,43.15
2026-02-27 13:15:53.327692,63.88,65.48
2026-02-27 13:15:55.328944,46.72,64.85
2026-02-27 13:15:57.330326,52.35,64.98
2026-02-27 13:15:59.332136,83.07,86.4
2026-02-27 13:16:01.333510,34.59,83.04
2026-02-27 13:16:03.334245,54.83,61.66
2026-02-27 13:16:05.335401,49.95,37.11
2026-02-27 13:16:07.336326,34.74,81.47
2026-02-27 13:16:09.337505,20.58,30.82
2026-02-27 13:16:11.338733,20.35,49.71
2026-02-27 13:16:13.339648,37.07,51.37
2026-02-27 13:16:15.340925,60.42,68.89
2026-02-27 13:16:17.343025,30.45,89.55
2026-02-27 13:16:19.344332,64.87,62.89
2026-02-27 13:16:21.346549,37.78,43.32
2026-02-27 13:16:23.348077,60.85,78.26
2026-02-27 13:16:25.348825,82.27,41.83
2026-02-27 13:16:27.349497,82.69,37.58
2026-02-27 13:16:29.350921,37.07,50.45
2026-02-27 13:16:31.352558,77.72,71.81
2026-02-27 13:16:33.353516,51.99,94.05
2026-02-27 13:16:35.354920,56.9,90.76
2026-02-27 13:16:37.356569,20.69,51.71
2026-02-27 13:16:39.357423,59.72,77.17
2026-02-27 13:16:41.358965,81.08,85.55
2026-02-27 13:16:43.360124,40.35,73.07
2026-02-27 13:16:45.360921,30.9,34.15
2026-02-27 13:16:47.361882,58.08,89.27
2026-02-27 13:16:49.362819,51.38,71.04
2026-02-27 13:16:51.364107,56.16,66.43
2026-02-27 13:16:53.365313,21.74,71.91
2026-02-27 13:16:55.366423,22.24,80.43
2026-02-27 13:16:57.367443,39.94,65.56
2026-02-27 13:16:59.368650,71.41,60.93
2026-02-27 13:17:01.369862,53.45,33.77
2026-02-27 13:17:03.370993,79.44,34.24
